source,rule,side,n,direction_accuracy,accuracy_ci_low,accuracy_ci_high,avg_unlevered_direction_return,avg_original_net_return,test_avg_net,test_total_return,test_max_drawdown
volatility_subset,p_eq_1+live_high_pre24_80,long,42,0.6904761904761905,0.5397372223365942,0.8092907348027727,0.0147466484083425,0.0140119483225736,,,
volatility_subset,p_eq_1+live_high_atr_80,long,46,0.6739130434782609,0.5296746274432707,0.7913423543550664,0.0133374380658059,0.0125339327464225,,,
volatility_subset,p_ge_0p8+live_high_atr_80,long,83,0.6506024096385542,0.5434401797494255,0.744440283070237,0.0079596192737342,0.0072193719272743,,,
volatility_subset,p_ge_0p8+live_high_pre24_80,long,79,0.6455696202531646,0.5355906892335188,0.7420475987763698,0.0078245357169063,0.0071095653014584,,,
volatility_subset,p_eq_1+live_low_atr_20,long,22,0.6363636363636364,0.4295134934371804,0.802670272273921,-0.0056018706718961,-0.0066751573232918,,,
volatility_subset,p_eq_1+live_high_pre72_80,long,38,0.631578947368421,0.47283672824260115,0.7661598684458619,0.0135563933331448,0.0128774142693616,,,
volatility_subset,p_ge_0p8+live_high_pre72_80,long,73,0.6301369863013698,0.5154917299781843,0.7317701698260883,0.0071654925152392,0.0064641637452317,,,
volatility_subset,p_ge_0p6+live_high_atr_80,long,123,0.6016260162601627,0.5132936289239914,0.6838025918742326,0.0062887442774148,0.0055921848515015,,,
volatility_subset,p_ge_0p6+live_high_pre24_80,long,122,0.5983606557377049,0.5096521581419348,0.6810637895256092,0.0065196520995851,0.0058299401722085,,,
volatility_subset,p_eq_0+live_high_atr_80,short,31,0.5806451612903226,0.40765964352020967,0.7358469692645074,-0.0005706570286684,-0.0025971392164922,,,
volatility_subset,p_ge_0p6+live_high_pre72_80,long,114,0.5789473684210527,0.48719207731406317,0.6655553395573982,0.0053178617623445,0.0046512290182831,,,
volatility_subset,p_eq_0+live_high_pre72_80,short,30,0.5666666666666667,0.3919700954540873,0.7262276256938489,0.0026415699685281,0.0007773815506845,,,
volatility_subset,p_le_0p2+live_low_pre72_20,short,95,0.5578947368421052,0.4577091595596533,0.6535800142295204,0.0003830814224444,-0.0012118629743912,,,
volatility_subset,p_le_0p2+live_high_pre24_80,short,65,0.5538461538461539,0.4333760431730088,0.6683066603086071,-0.0001909128016998,-0.0021684389386916,,,
volatility_subset,p_le_0p2+live_high_atr_80,short,64,0.546875,0.42573382520679776,0.6627074851396563,-0.0001535482433353,-0.0021118100905466,,,
volatility_subset,p_le_0p2+live_low_pre24_20,short,90,0.5444444444444444,0.4418444949284148,0.6434055434341024,0.001813335015704,0.0002099706709822,,,
volatility_subset,p_le_0p2+live_high_pre72_80,short,59,0.5423728813559322,0.4165761502342809,0.6629889785975757,0.0020361694563923,0.000177260217359,,,
volatility_subset,p_le_0p4+live_low_pre72_20,short,150,0.54,0.46023676745464287,0.6177655414136997,0.0005534049865719,-0.0010538335531853,,,
volatility_subset,p_le_0p4+live_high_pre24_80,short,113,0.5309734513274337,0.4394610519825767,0.6204491169983343,0.0007342879016371,-0.0011500156763264,,,
volatility_subset,p_le_0p4+live_high_atr_80,short,115,0.5304347826086957,0.43971596277968295,0.6191859705500602,0.0011269042830194,-0.000732383740692,,,
regime_test,long_p100+high_vol72+lev10.0,1,14,0.5714285714285714,0.32590266902869364,0.7861949006959947,,,0.1539560141850377,3.149496594773785,-0.2725328927558089
regime_test,long_p100+high_atr+lev10.0,1,17,0.6470588235294118,0.4129996672121182,0.826905138560951,,,0.134884974104261,3.616622177731686,-0.3436143776833029
regime_test,long_p100+trend168_down+mom24_down+lev10.0,1,24,0.6666666666666666,0.4670595949408046,0.8202802131162036,,,0.1160055622779632,5.597446965688981,-0.3606992255447242
regime_test,long_p100+mom24_down+lev10.0,1,27,0.6296296296296297,0.442289046234463,0.7846771293206314,,,0.1146941427882403,6.511565538870144,-0.5184744871151349
regime_test,long_p100+mom72_down+lev10.0,1,26,0.6153846153846154,0.42534520039420076,0.7757164048816557,,,0.1082899271521102,5.8731730723406175,-0.3436143776833029
regime_test,long_p100+trend168_down+lev10.0,1,27,0.6296296296296297,0.442289046234463,0.7846771293206314,,,0.106239855833266,6.081751287057367,-0.3606992255447241
regime_test,long_p100+weekday+lev10.0,1,28,0.5714285714285714,0.390704789856154,0.7349170381926877,,,0.0996640375514035,4.87155917001039,-0.5184744871151349
regime_test,long_p100+trend72_down+lev10.0,1,28,0.5714285714285714,0.390704789856154,0.7349170381926877,,,0.0856866065645879,3.2862750975786508,-0.5184744871151349
regime_test,long_p100+high_vol24+lev10.0,1,16,0.5625,0.33178195606776517,0.7690163666481448,,,0.0816916519238156,1.0134010593853948,-0.343614377683303
regime_test,long_p100+rsi_cold+lev10.0,1,24,0.625,0.42709619037907065,0.7884086656636855,,,0.0799734841211236,2.0280179300822145,-0.5184744871151349
regime_test,long_p100+high_vol72+lev5.0,1,14,0.5714285714285714,0.32590266902869364,0.7861949006959947,,,0.0769780070925188,1.3665003541539735,-0.1388641813327151
regime_test,long_p100+trend24_down+lev10.0,1,25,0.6,0.40739127785127344,0.7659694233580909,,,0.0750394409273366,1.8966697924674452,-0.5184744871151349
regime_test,long_p100+high_atr+lev5.0,1,17,0.6470588235294118,0.4129996672121182,0.826905138560951,,,0.0674424870521305,1.5159090154666774,-0.1807567796702714
regime_test,long_p100+trend168_down+mom24_down+lev5.0,1,24,0.6666666666666666,0.4670595949408046,0.8202802131162036,,,0.0580027811389816,2.1073440788135565,-0.1868283960626701
regime_test,long_p100+mom24_down+lev5.0,1,27,0.6296296296296297,0.442289046234463,0.7846771293206314,,,0.0573470713941201,2.455031582099185,-0.2898793398602211
regime_test,long_p100+mom72_down+lev5.0,1,26,0.6153846153846154,0.42534520039420076,0.7757164048816557,,,0.0541449635760551,2.163569030991737,-0.1807567796702713
regime_test,long_p100+trend168_down+lev5.0,1,27,0.6296296296296297,0.442289046234463,0.7846771293206314,,,0.053119927916633,2.22983437826231,-0.1868283960626702
regime_test,long_p100+weekday+lev5.0,1,28,0.5714285714285714,0.390704789856154,0.7349170381926877,,,0.0498320187757017,2.0088007808082637,-0.2898793398602211
regime_test,long_p100+high_vol72+lev3.0,1,14,0.5714285714285714,0.32590266902869364,0.7861949006959947,,,0.0461868042555113,0.7539188035828297,-0.0839419651887835
regime_test,long_p100+trend72_down+lev5.0,1,28,0.5714285714285714,0.390704789856154,0.7349170381926877,,,0.0428433032822939,1.5366372739984393,-0.2898793398602211
